"measurement" "activity" "subjectid" "averages"
"fBodyAccFreqX" "WALKING" 1 -0.207548374494737
"fBodyAccFreqX" "WALKING" 2 -0.14579548970339
"fBodyAccFreqX" "WALKING" 3 -0.246614196618966
"fBodyAccFreqX" "WALKING" 4 -0.13859163673
"fBodyAccFreqX" "WALKING" 5 -0.322382010942857
"fBodyAccFreqX" "WALKING" 6 -0.196841736649123
"fBodyAccFreqX" "WALKING" 7 -0.313727371842105
"fBodyAccFreqX" "WALKING" 8 -0.380892405770833
"fBodyAccFreqX" "WALKING" 9 -0.310727563365385
"fBodyAccFreqX" "WALKING" 10 -0.26332591785283
"fBodyAccFreqX" "WALKING" 11 -0.37360793220339
"fBodyAccFreqX" "WALKING" 12 -0.26142601202
"fBodyAccFreqX" "WALKING" 13 -0.231462709105263
"fBodyAccFreqX" "WALKING" 14 -0.358804611016949
"fBodyAccFreqX" "WALKING" 15 -0.395518048333333
"fBodyAccFreqX" "WALKING" 16 -0.350681958176471
"fBodyAccFreqX" "WALKING" 17 -0.414940955557377
"fBodyAccFreqX" "WALKING" 18 -0.362107081928571
"fBodyAccFreqX" "WALKING" 19 -0.176447542226923
"fBodyAccFreqX" "WALKING" 20 -0.227319943784314
"fBodyAccFreqX" "WALKING" 21 -0.159448399551923
"fBodyAccFreqX" "WALKING" 22 -0.2183853882
"fBodyAccFreqX" "WALKING" 23 -0.271218699661017
"fBodyAccFreqX" "WALKING" 24 -0.312046342362069
"fBodyAccFreqX" "WALKING" 25 -0.347641742675676
"fBodyAccFreqX" "WALKING" 26 -0.299293909932203
"fBodyAccFreqX" "WALKING" 27 -0.301660253842105
"fBodyAccFreqX" "WALKING" 28 -0.375046889351852
"fBodyAccFreqX" "WALKING" 29 -0.313574137584906
"fBodyAccFreqX" "WALKING" 30 -0.3463571356
"fBodyAccFreqX" "WALKING_UPSTAIRS" 1 -0.418735000377359
"fBodyAccFreqX" "WALKING_UPSTAIRS" 2 -0.281748011416667
"fBodyAccFreqX" "WALKING_UPSTAIRS" 3 -0.461249740508475
"fBodyAccFreqX" "WALKING_UPSTAIRS" 4 -0.486811749615385
